STT,Dữ Liệu ,Câu Hỏi,Câu Trả Lời,Nguồn( Nếu Có),Thông Tin Thêm,Đánh giá,Minh chứng,Context
806,302.0,Thứ trưởng Hoàng Minh đề xuất trọng tâm hợp tác nào bên cạnh đào tạo dài hạn?,Thứ trưởng đề xuất chú trọng các chương trình bồi dưỡng ngắn hạn cho đội ngũ cán bộ kỹ thuật đang trực tiếp làm việc trong lĩnh vực công nghệ.,Trích dẫn: “hai bên cần chú trọng hơn nữa đến các chương trình bồi dưỡng ngắn hạn dành cho đội ngũ cán bộ kỹ thuật đang trực tiếp làm việc trong lĩnh vực công nghệ.”,,5.0,,"#Question : ```Thứ trưởng Hoàng Minh đề xuất trọng tâm hợp tác nào bên cạnh đào tạo dài hạn?```
#Answer : ```Thứ trưởng đề xuất chú trọng các chương trình bồi dưỡng ngắn hạn cho đội ngũ cán bộ kỹ thuật đang trực tiếp làm việc trong lĩnh vực công nghệ.```"
807,302.0,Những sản phẩm công nghệ tiêu biểu nào đã được giới thiệu?,"Hệ thống AI giám sát an ninh, bộ công cụ STEM, giải pháp MiniApp – Công dân số.","Trích dẫn: “Các sản phẩm như hệ thống AI giám sát an ninh, bộ công cụ STEM, giải pháp MiniApp – Công dân số…”",,5.0,,"#Question : ```Những sản phẩm công nghệ tiêu biểu nào đã được giới thiệu?```
#Answer : ```Hệ thống AI giám sát an ninh, bộ công cụ STEM, giải pháp MiniApp – Công dân số.```"
808,302.0,Lưu học sinh Lào muốn tìm lớp tiếng Việt bổ trợ tại Học viện thì Học viện có tổ chức không?,Học viện có tổ chức lớp tiếng Việt bổ trợ cho lưu học sinh Lào.,Trích dẫn: “tổ chức lớp tiếng Việt bổ trợ…”,,5.0,,"#Question : ```Lưu học sinh Lào muốn tìm lớp tiếng Việt bổ trợ tại Học viện thì Học viện có tổ chức không?```
#Answer : ```Học viện có tổ chức lớp tiếng Việt bổ trợ cho lưu học sinh Lào.```"
809,302.0,Sinh viên quốc tế quan tâm đến hạ tầng lưu trú thì Học viện có ký túc xá hiện đại không?,Học viện có hệ thống ký túc xá hiện đại dành cho lưu học sinh.,Trích dẫn: “hệ thống ký túc xá hiện đại…”,,5.0,,"#Question : ```Sinh viên quốc tế quan tâm đến hạ tầng lưu trú thì Học viện có ký túc xá hiện đại không?```
#Answer : ```Học viện có hệ thống ký túc xá hiện đại dành cho lưu học sinh.```"
810,302.0,Lưu học sinh Lào muốn cải thiện tiếng Việt bằng công nghệ thì Học viện có nhắc đến công cụ nào?,Học viện nhắc đến ứng dụng AI “VieAI” hỗ trợ sinh viên quốc tế học tiếng Việt hiệu quả.,Trích dẫn: “ứng dụng AI ‘VieAI’ giúp sinh viên quốc tế học tiếng Việt hiệu quả.”,,5.0,,"#Question : ```Lưu học sinh Lào muốn cải thiện tiếng Việt bằng công nghệ thì Học viện có nhắc đến công cụ nào?```
#Answer : ```Học viện nhắc đến ứng dụng AI “VieAI” hỗ trợ sinh viên quốc tế học tiếng Việt hiệu quả.```"
811,302.0,Sinh viên Lào muốn biết cơ hội học bổng trong tương lai thì Học viện có định hướng gì?,Học viện mong muốn triển khai thêm học bổng dành cho sinh viên Lào xuất sắc.,Trích dẫn: “triển khai thêm… học bổng dành cho sinh viên Lào xuất sắc;”,,5.0,,"#Question : ```Sinh viên Lào muốn biết cơ hội học bổng trong tương lai thì Học viện có định hướng gì?```
#Answer : ```Học viện mong muốn triển khai thêm học bổng dành cho sinh viên Lào xuất sắc.```"
812,303.0,Dự án “Trở về thời khắc thiêng liêng” ra mắt vào dịp nào?,Dự án dự kiến ra mắt và phục vụ công chúng vào dịp kỷ niệm 80 năm Cách mạng tháng Tám (19/8/1945 – 19/8/2025) và Quốc khánh nước Cộng hòa xã hội chủ nghĩa Việt Nam.,Trích dẫn: “...dự kiến sẽ ra mắt và phục vụ công chúng vào dịp kỷ niệm 80 năm cách mạng tháng Tám (19/8/1945-19/8/2025) và Quốc khánh...”,,5.0,,"#Question : ```Dự án “Trở về thời khắc thiêng liêng” ra mắt vào dịp nào?```
#Answer : ```Dự án dự kiến ra mắt và phục vụ công chúng vào dịp kỷ niệm 80 năm Cách mạng tháng Tám (19/8/1945 – 19/8/2025) và Quốc khánh nước Cộng hòa xã hội chủ nghĩa Việt Nam.```"
813,303.0,Đơn vị nào hợp tác công nghệ trong dự án “Trở về thời khắc thiêng liêng”?,"Học viện Công nghệ Bưu chính Viễn thông (PTIT) là đơn vị hợp tác về công nghệ, góp phần quan trọng trong việc tạo ra trải nghiệm hình ảnh 3D độc đáo.","Trích dẫn: “Với vai trò là đơn vị hợp tác về công nghệ, các chuyên gia và đội ngũ của Học viện Công nghệ Bưu chính Viễn thông đã góp phần quan trọng vào việc tạo nên những trải nghiệm hình ảnh 3D độc đáo.”",,5.0,,"#Question : ```Đơn vị nào hợp tác công nghệ trong dự án “Trở về thời khắc thiêng liêng”?```
#Answer : ```Học viện Công nghệ Bưu chính Viễn thông (PTIT) là đơn vị hợp tác về công nghệ, góp phần quan trọng trong việc tạo ra trải nghiệm hình ảnh 3D độc đáo.```"
814,303.0,Mục tiêu chính của dự án “Trở về thời khắc thiêng liêng” là gì?,"Mục tiêu là tái hiện chân thực khoảnh khắc Chủ tịch Hồ Chí Minh đọc Tuyên ngôn Độc lập ngày 2/9/1945, giúp công chúng – đặc biệt là thế hệ trẻ – trải nghiệm sống động, từ đó bồi đắp lòng yêu nước và niềm tự hào dân tộc.","Trích dẫn: “...ứng dụng trải nghiệm sẽ mang đến cho công chúng – đặc biệt là thế hệ trẻ – một trải nghiệm vừa chân thực, vừa xúc động, qua đó góp phần bồi đắp lòng yêu nước và niềm tự hào dân tộc.”",,5.0,,"#Question : ```Mục tiêu chính của dự án “Trở về thời khắc thiêng liêng” là gì?```
#Answer : ```Mục tiêu là tái hiện chân thực khoảnh khắc Chủ tịch Hồ Chí Minh đọc Tuyên ngôn Độc lập ngày 2/9/1945, giúp công chúng – đặc biệt là thế hệ trẻ – trải nghiệm sống động, từ đó bồi đắp lòng yêu nước và niềm tự hào dân tộc.```"
815,303.0,Dự án đã sử dụng những công nghệ nào để tái hiện sự kiện lịch sử?,"Dự án sử dụng công nghệ thực tế ảo (VR), thực tế tăng cường (AR) kết hợp trí tuệ nhân tạo (AI) cùng các kỹ thuật đồ hoạ số và mỹ thuật để tái hiện thời khắc lịch sử.","Trích dẫn: “...vận dụng những thành tựu tiên tiến thực tế ảo (VR), thực tế tăng cường (AR)… nhằm tái hiện...”; “...sản phẩm kết hợp nhiều công nghệ, kỹ thuật tiên tiến với yếu tố mỹ thuật, đồ hoạ số...”",,5.0,,"#Question : ```Dự án đã sử dụng những công nghệ nào để tái hiện sự kiện lịch sử?```
#Answer : ```Dự án sử dụng công nghệ thực tế ảo (VR), thực tế tăng cường (AR) kết hợp trí tuệ nhân tạo (AI) cùng các kỹ thuật đồ hoạ số và mỹ thuật để tái hiện thời khắc lịch sử.```"
816,303.0,Ai là Giám đốc Học viện PTIT và đã chia sẻ gì về dự án?,"PGS.TS Đặng Hoài Bắc là Giám đốc Học viện PTIT. Ông cho biết đây là dự án thiêng liêng, cần chính xác tuyệt đối về mặt lịch sử và phải truyền tải được sự sống động, không khí trọng đại của ngày 2/9/1945.","Trích dẫn: “PGS.TS Đặng Hoài Bắc – Giám đốc Học viện... khẳng định đây là một dự án rất thiêng liêng, đòi hỏi sự chính xác tuyệt đối về mặt lịch sử...”",,5.0,,"#Question : ```Ai là Giám đốc Học viện PTIT và đã chia sẻ gì về dự án?```
#Answer : ```PGS.TS Đặng Hoài Bắc là Giám đốc Học viện PTIT. Ông cho biết đây là dự án thiêng liêng, cần chính xác tuyệt đối về mặt lịch sử và phải truyền tải được sự sống động, không khí trọng đại của ngày 2/9/1945.```"
817,303.0,Viện CDIT đóng vai trò gì trong dự án?,"Viện Công nghệ Thông tin và Truyền thông CDIT (trực thuộc PTIT) là đơn vị trực tiếp thực hiện dự án, kết hợp công nghệ, mỹ thuật và truyền thông để truyền tải nội dung văn hoá, lịch sử.",Trích dẫn: “Đại diện Viện Công nghệ Thông tin và Truyền thông CDIT (trực thuộc PTIT) đơn vị trực tiếp thực hiện dự án...”,,5.0,,"#Question : ```Viện CDIT đóng vai trò gì trong dự án?```
#Answer : ```Viện Công nghệ Thông tin và Truyền thông CDIT (trực thuộc PTIT) là đơn vị trực tiếp thực hiện dự án, kết hợp công nghệ, mỹ thuật và truyền thông để truyền tải nội dung văn hoá, lịch sử.```"
818,303.0,Sinh viên PTIT có thể tham gia trải nghiệm dự án này khi nào và ở đâu?,"Sinh viên có thể trải nghiệm dự án “Trở về thời khắc thiêng liêng” trực tiếp tại Trụ sở VOV, 58 Quán Sứ, Hà Nội từ 19 – 21/8/2025, hoặc tại Trung tâm Triển lãm Quốc gia, Đông Anh, Hà Nội từ 28/8 – 5/9/2025.",Trích dẫn: “...từ 19 – 21/8/2025... Trụ sở VOV... Từ 28/8 – 5/9/2025... Trung tâm Triển lãm Quốc gia...”,,5.0,,"#Question : ```Sinh viên PTIT có thể tham gia trải nghiệm dự án này khi nào và ở đâu?```
#Answer : ```Sinh viên có thể trải nghiệm dự án “Trở về thời khắc thiêng liêng” trực tiếp tại Trụ sở VOV, 58 Quán Sứ, Hà Nội từ 19 – 21/8/2025, hoặc tại Trung tâm Triển lãm Quốc gia, Đông Anh, Hà Nội từ 28/8 – 5/9/2025.```"
819,304.0,Học viện Công nghệ Bưu chính Viễn thông đã tổ chức “Hội nghị điển hình tiên tiến giai đoạn 2020 – 2025” vào thời điểm nào và với tần suất ra sao?,"Học viện đã tổ chức “Hội nghị điển hình tiên tiến giai đoạn 2020 – 2025” vào ngày 08/8/2025, đây là sự kiện được tổ chức định kỳ 5 năm một lần.","Trích dẫn: “Ngày 08/8/2025, Học viện Công nghệ Bưu chính Viễn thông đã tổ chức Hội nghị điển hình tiên tiến giai đoạn 2020 – 2025… Đây là sự kiện được tổ chức định kỳ 5 năm một lần…”",,5.0,,"#Question : ```Học viện Công nghệ Bưu chính Viễn thông đã tổ chức “Hội nghị điển hình tiên tiến giai đoạn 2020 – 2025” vào thời điểm nào và với tần suất ra sao?```
#Answer : ```Học viện đã tổ chức “Hội nghị điển hình tiên tiến giai đoạn 2020 – 2025” vào ngày 08/8/2025, đây là sự kiện được tổ chức định kỳ 5 năm một lần.```"
820,304.0,Ai là các lãnh đạo chủ chốt tham dự Hội nghị điển hình tiên tiến của Học viện?,"Có PGS.TS Đặng Hoài Bắc – Giám đốc Học viện; các Phó Giám đốc PGS.TS Trần Quang Anh, TS Nguyễn Trung Kiên.","Trích dẫn: “Tham dự Hội nghị có, PGS.TS Đạng Hoài Bắc, Giám đốc Học viện, các Phó Giám đốc: PGS.TS Trần Quang Anh, TS Nguyễn Trung Kiên…”",,5.0,,"#Question : ```Ai là các lãnh đạo chủ chốt tham dự Hội nghị điển hình tiên tiến của Học viện?```
#Answer : ```Có PGS.TS Đặng Hoài Bắc – Giám đốc Học viện; các Phó Giám đốc PGS.TS Trần Quang Anh, TS Nguyễn Trung Kiên.```"
821,304.0,Hội nghị điển hình tiên tiến của Học viện có hình thức tổ chức tại các điểm cầu nào?,Hội nghị được kết nối trực tuyến tại hai điểm cầu Hà Nội và thành phố Hồ Chí Minh.,Trích dẫn: “Hội nghị được kết nối trực tuyến tại hai điểm cầu Hà Nội và thành phố Hồ Chí Minh.”,,5.0,,"#Question : ```Hội nghị điển hình tiên tiến của Học viện có hình thức tổ chức tại các điểm cầu nào?```
#Answer : ```Hội nghị được kết nối trực tuyến tại hai điểm cầu Hà Nội và thành phố Hồ Chí Minh.```"
822,304.0,"Trong giai đoạn 2020–2025, phong trào thi đua của Học viện gắn với những trụ cột nào?","Phong trào thi đua gắn với ba trụ cột: đào tạo, nghiên cứu khoa học, chuyển giao công nghệ.","Trích dẫn: “Trên cả ba trụ cột đào tạo – nghiên cứu khoa học – chuyển giao công nghệ, Học viện đều đạt được thành tích nổi bật.”",,5.0,,"#Question : ```Trong giai đoạn 2020–2025, phong trào thi đua của Học viện gắn với những trụ cột nào?```
#Answer : ```Phong trào thi đua gắn với ba trụ cột: đào tạo, nghiên cứu khoa học, chuyển giao công nghệ.```"
823,304.0,Quy mô người học hiện nay của Học viện là bao nhiêu?,"Học viện hiện có hơn 22 ngàn học viên, sinh viên.","Trích dẫn: “hiện nay Học viện có hơn 22 ngàn học viên, sinh viên.”",,5.0,,"#Question : ```Quy mô người học hiện nay của Học viện là bao nhiêu?```
#Answer : ```Học viện hiện có hơn 22 ngàn học viên, sinh viên.```"
824,304.0,"Trong giai đoạn 2020–2025, Học viện đã mở những ngành đào tạo mới nào?","Học viện đã mở các ngành: Kỹ thuật điều khiển và Tự động hóa (định hướng Robotic), Công nghệ Tài chính (FinTech), Công nghệ internet vạn vật (IoT), Khoa học máy tính (định hướng Khoa học dự liệu), Báo chí, Thiết kế và Phát triển game, Thiết kế và kiểm thử vi mạch bán dẫn chuyên sâu, Trí tuệ nhân tạo.","Trích dẫn: “Học viện đã mở nhiều ngành đào tạo mới: Kỹ thuật điều khiển và Tự động hóa (Định hướng Robotic)… Công nghệ Tài chính (FinTech)… Công nghệ internet vạn vật (IoT)… Khoa học máy tính (định hướng Khoa học dự liệu); Báo chí,Thiết kế và Phát triển game, Thiết kế và kiểm thử vi mạch bán dẫn chuyên sâu, Trí tuệ nhân tạo….”",,5.0,,"#Question : ```Trong giai đoạn 2020–2025, Học viện đã mở những ngành đào tạo mới nào?```
#Answer : ```Học viện đã mở các ngành: Kỹ thuật điều khiển và Tự động hóa (định hướng Robotic), Công nghệ Tài chính (FinTech), Công nghệ internet vạn vật (IoT), Khoa học máy tính (định hướng Khoa học dự liệu), Báo chí, Thiết kế và Phát triển game, Thiết kế và kiểm thử vi mạch bán dẫn chuyên sâu, Trí tuệ nhân tạo.```"
825,304.0, Học viện đã đạt được những điểm nổi bật nào về nghiên cứu khoa học và công nghệ trong 5 năm qua?,"Học viện đẩy mạnh nghiên cứu công nghệ lõi như mạng riêng 5G kiến trúc mở, sản xuất thử nghiệm vi mạch, ứng dụng AI; tích cực tham gia các chương trình KHCN trọng điểm quốc gia trong lĩnh vực Điện tử – Viễn thông – CNTT.","Trích dẫn: “đẩy mạnh nghiên cứu, chế tạo công nghệ lõi như mạng riêng 5G kiến trúc mở, sản xuất thử nghiệm vi mạch, ứng dụng AI vào nhiều lĩnh vực… tích cực tham gia các chương trình KHCN trọng điểm của quốc gia…”",,5.0,,"#Question : ``` Học viện đã đạt được những điểm nổi bật nào về nghiên cứu khoa học và công nghệ trong 5 năm qua?```
#Answer : ```Học viện đẩy mạnh nghiên cứu công nghệ lõi như mạng riêng 5G kiến trúc mở, sản xuất thử nghiệm vi mạch, ứng dụng AI; tích cực tham gia các chương trình KHCN trọng điểm quốc gia trong lĩnh vực Điện tử – Viễn thông – CNTT.```"
826,304.0,Học viện đã triển khai những nội dung chính nào trong công tác chuyển đổi số?,"Học viện xây dựng hệ sinh thái Ptit Digital University; hoàn thành 03 phân hệ đại học số dạng SaaS, đóng gói 04 phân hệ đại học số và 03 khóa MOOC; mở rộng, tối ưu ứng dụng PTIT-Slink; mở rộng nền tảng thực hành D-Lab cho ngành Kỹ thuật điện tử, Kỹ thuật viễn thông.","Trích dẫn: “xây dựng và phát triển một hệ sinh thái với tên gọi Ptit Digital University… Hoàn thành xây dựng 03 phân hệ nền tảng đại học số dưới dạng dịch vụ SaaS, đóng gói 04 phân hệ đại học số và 03 khóa học MOOC…; ứng dụng (App) trên nền tảng PTIT-Slink đã được mở rộng, tối ưu hóa…; nền tảng thực hành D-Lab mở rộng cho các ngành Kỹ thuật điện tử, Kỹ thuật viễn thông…”",,5.0,,"#Question : ```Học viện đã triển khai những nội dung chính nào trong công tác chuyển đổi số?```
#Answer : ```Học viện xây dựng hệ sinh thái Ptit Digital University; hoàn thành 03 phân hệ đại học số dạng SaaS, đóng gói 04 phân hệ đại học số và 03 khóa MOOC; mở rộng, tối ưu ứng dụng PTIT-Slink; mở rộng nền tảng thực hành D-Lab cho ngành Kỹ thuật điện tử, Kỹ thuật viễn thông.```"
827,304.0,Ai đã phát động phong trào thi đua giai đoạn 2025–2030 và phong trào kêu gọi những đối tượng nào?,"PGS.TS Trần Quang Anh – Phó Giám đốc Học viện – phát động phong trào, kêu gọi toàn thể cán bộ, giảng viên, sinh viên.","Trích dẫn: “PGS.TS Trần Quang Anh – Phó Giám đốc Học viện – đã phát động phong trào thi đua giai đoạn 2025 – 2030, kêu gọi toàn thể cán bộ, giảng viên, sinh viên…”",,5.0,,"#Question : ```Ai đã phát động phong trào thi đua giai đoạn 2025–2030 và phong trào kêu gọi những đối tượng nào?```
#Answer : ```PGS.TS Trần Quang Anh – Phó Giám đốc Học viện – phát động phong trào, kêu gọi toàn thể cán bộ, giảng viên, sinh viên.```"
828,304.0,Giám đốc Học viện nhấn mạnh vai trò của sinh viên như thế nào trong phát triển Học viện?,"Sinh viên được xác định là trung tâm, chủ thể, là động lực và nguồn lực để phát triển Học viện nhanh, bền vững.","Trích dẫn: “Với tinh thần lấy nhà trường làm nền tảng, thầy cô là động lực, sinh viên là trung tâm, chủ thể, là động lực, nguồn lực để phát triển Học viện nhanh, bền vững.”",,5.0,,"#Question : ```Giám đốc Học viện nhấn mạnh vai trò của sinh viên như thế nào trong phát triển Học viện?```
#Answer : ```Sinh viên được xác định là trung tâm, chủ thể, là động lực và nguồn lực để phát triển Học viện nhanh, bền vững.```"
829,304.0,Học viện có tham gia các chương trình khoa học công nghệ trọng điểm quốc gia không?,"Có, Học viện luôn tích cực tham gia trong lĩnh vực Điện tử – Viễn thông – Công nghệ thông tin.",Trích dẫn: “Học viện cũng luôn tích cực tham gia các chương trình KHCN trọng điểm của quốc gia trong lĩnh vực Điện tử – Viễn thông – Công nghệ thông tin.”,,5.0,,"#Question : ```Học viện có tham gia các chương trình khoa học công nghệ trọng điểm quốc gia không?```
#Answer : ```Có, Học viện luôn tích cực tham gia trong lĩnh vực Điện tử – Viễn thông – Công nghệ thông tin.```"
830,304.0,Nền tảng D-Lab hỗ trợ thực hành cho những ngành nào và mang lại lợi ích gì cho sinh viên?,"D-Lab mở rộng cho ngành Kỹ thuật điện tử, Kỹ thuật viễn thông; giúp sinh viên tăng khả năng tự học, tự rèn luyện và có kết quả học tập tốt hơn.","Trích dẫn: “nền tảng thực hành D-Lab mở rộng cho các ngành Kỹ thuật điện tử, Kỹ thuật viễn thông giúp sinh viên tăng khả năng tự học, tự rèn luyện và có kết quả học tập tốt hơn.”",,5.0,,"#Question : ```Nền tảng D-Lab hỗ trợ thực hành cho những ngành nào và mang lại lợi ích gì cho sinh viên?```
#Answer : ```D-Lab mở rộng cho ngành Kỹ thuật điện tử, Kỹ thuật viễn thông; giúp sinh viên tăng khả năng tự học, tự rèn luyện và có kết quả học tập tốt hơn.```"
831,305.0,Học viện Công nghệ Bưu chính Viễn thông có kế hoạch đánh giá kết quả rèn luyện sinh viên như thế nào trong năm học 2025-2026?,"Học viện triển khai kế hoạch đánh giá kết quả rèn luyện sinh viên năm học 2025-2026 thông qua hệ thống phần mềm trực tuyến S-link. Việc đánh giá được thực hiện theo 5 bước: sinh viên tự đánh giá, tập thể lớp đánh giá, CVHT tổ chức họp lớp và đánh giá, họp hội đồng cấp Học viện để đánh giá, và cuối cùng là công nhận kết quả rèn luyện.","Trích dẫn: ""Học viện triển khai kế hoạch đánh giá kết quả rèn luyện của sinh viên năm học 2025-2026"" và ""Hình thức đánh giá kết quả rèn luyện của sinh viên: sinh viên, ban cán sự lớp, cố vấn học tập thực hiện công tác đánh giá kết quả rèn luyện thông qua hình thức trực tuyến trên hệ thống phần mềm S-link.""",,5.0,,"#Question : ```Học viện Công nghệ Bưu chính Viễn thông có kế hoạch đánh giá kết quả rèn luyện sinh viên như thế nào trong năm học 2025-2026?```
#Answer : ```Học viện triển khai kế hoạch đánh giá kết quả rèn luyện sinh viên năm học 2025-2026 thông qua hệ thống phần mềm trực tuyến S-link. Việc đánh giá được thực hiện theo 5 bước: sinh viên tự đánh giá, tập thể lớp đánh giá, CVHT tổ chức họp lớp và đánh giá, họp hội đồng cấp Học viện để đánh giá, và cuối cùng là công nhận kết quả rèn luyện.```"
832,305.0,Mục đích của việc đánh giá kết quả rèn luyện sinh viên tại Học viện Công nghệ Bưu chính Viễn thông là gì?," Mục đích đánh giá kết quả rèn luyện sinh viên bao gồm: thực hiện quy chế của Bộ Giáo dục và Đào tạo, tổng kết đánh giá toàn diện về ý thức và thái độ học tập của sinh viên, nâng cao ý thức trách nhiệm trong học tập và rèn luyện, đồng thời kết quả này là căn cứ để xét cấp học bổng khuyến khích học tập, xét khen thưởng và kỷ luật.","Trích dẫn: ""Tổng kết đánh giá kết quả rèn luyện của sinh viên toàn diện về các mặt ý thức và thái độ tham gia học tập, chấp hành nội quy, quy chế quy định trong Học viện"" và ""Kết quả rèn luyện của sinh viên là căn cứ xét cấp học bổng khuyến khích học tập, xét khen thưởng, kỷ luật…""",,5.0,,"#Question : ```Mục đích của việc đánh giá kết quả rèn luyện sinh viên tại Học viện Công nghệ Bưu chính Viễn thông là gì?```
#Answer : ``` Mục đích đánh giá kết quả rèn luyện sinh viên bao gồm: thực hiện quy chế của Bộ Giáo dục và Đào tạo, tổng kết đánh giá toàn diện về ý thức và thái độ học tập của sinh viên, nâng cao ý thức trách nhiệm trong học tập và rèn luyện, đồng thời kết quả này là căn cứ để xét cấp học bổng khuyến khích học tập, xét khen thưởng và kỷ luật.```"
833,305.0,Sinh viên khối nào được thực hiện đánh giá kết quả rèn luyện trong năm học 2025-2026?,"Các sinh viên khối D22, D23, D24, D25 sẽ được thực hiện đánh giá kết quả rèn luyện trong cả học kỳ 1 và học kỳ 2 của năm học 2025-2026.","Trích dẫn: ""Đối tượng sinh viên thực hiện đánh giá: D22, D23, D24, D25""",,5.0,,"#Question : ```Sinh viên khối nào được thực hiện đánh giá kết quả rèn luyện trong năm học 2025-2026?```
#Answer : ```Các sinh viên khối D22, D23, D24, D25 sẽ được thực hiện đánh giá kết quả rèn luyện trong cả học kỳ 1 và học kỳ 2 của năm học 2025-2026.```"
834,305.0,Thời gian các hoạt động được tính kết quả rèn luyện trong học kỳ 1 năm học 2025-2026 là từ khi nào đến khi nào?,Các hoạt động được tính kết quả rèn luyện trong học kỳ 1 năm học 2025-2026 là từ ngày 01/8/2025 đến hết ngày 31/01/2026.,"Trích dẫn: ""Các hoạt động được tính kết quả rèn luyện trong khoảng thời gian: Từ 01/8/2025 đến hết ngày 31/01/2026""",,5.0,,"#Question : ```Thời gian các hoạt động được tính kết quả rèn luyện trong học kỳ 1 năm học 2025-2026 là từ khi nào đến khi nào?```
#Answer : ```Các hoạt động được tính kết quả rèn luyện trong học kỳ 1 năm học 2025-2026 là từ ngày 01/8/2025 đến hết ngày 31/01/2026.```"
835,305.0,Phòng Chính trị và Công tác sinh viên có vai trò gì trong việc đánh giá kết quả rèn luyện sinh viên?," Phòng Chính trị và Công tác sinh viên có vai trò chủ đạo trong việc xây dựng kế hoạch, hướng dẫn và tổ chức thực hiện công tác đánh giá. Phòng này thường trực hội đồng đánh giá cấp Học viện, chủ trì công tác đánh giá trên hệ thống S-link, cử cán bộ tổng hợp thông tin và cung cấp danh sách CVHT, Ban cán sự các lớp.","Trích dẫn: ""Chủ trì công tác đánh giá kết quả rèn luyện của sinh viên trên hệ thống phần mềm S-link của Học viện và theo dõi, hướng dẫn, phối hợp với các đơn vị liên quan để tổ chức thực hiện.""",,5.0,,"#Question : ```Phòng Chính trị và Công tác sinh viên có vai trò gì trong việc đánh giá kết quả rèn luyện sinh viên?```
#Answer : ``` Phòng Chính trị và Công tác sinh viên có vai trò chủ đạo trong việc xây dựng kế hoạch, hướng dẫn và tổ chức thực hiện công tác đánh giá. Phòng này thường trực hội đồng đánh giá cấp Học viện, chủ trì công tác đánh giá trên hệ thống S-link, cử cán bộ tổng hợp thông tin và cung cấp danh sách CVHT, Ban cán sự các lớp.```"
836,305.0,Cố vấn học tập có trách nhiệm gì trong việc đánh giá kết quả rèn luyện sinh viên?,"Cố vấn học tập có trách nhiệm phối hợp với Ban cán sự lớp nhắc nhở sinh viên cập nhật minh chứng tự đánh giá, duyệt chấm điểm rèn luyện cho sinh viên sau mỗi học kỳ bằng tài khoản S-link, và tổ chức họp lớp 3 lần mỗi kỳ học (đầu kỳ, giữa kỳ, cuối kỳ) với việc tạo lịch họp lớp trên S-link.","Trích dẫn: ""Cố vấn học tập có trách nhiệm duyệt chấm điểm rèn luyện cho sinh viên sau mỗi học kỳ bằng tài khoản S-link của CVHT"" và ""mỗi một kỳ học CVHT tổ chức họp lớp 3 lần: Đầu kỳ, giữa kỳ, cuối kỳ.""",,5.0,,"#Question : ```Cố vấn học tập có trách nhiệm gì trong việc đánh giá kết quả rèn luyện sinh viên?```
#Answer : ```Cố vấn học tập có trách nhiệm phối hợp với Ban cán sự lớp nhắc nhở sinh viên cập nhật minh chứng tự đánh giá, duyệt chấm điểm rèn luyện cho sinh viên sau mỗi học kỳ bằng tài khoản S-link, và tổ chức họp lớp 3 lần mỗi kỳ học (đầu kỳ, giữa kỳ, cuối kỳ) với việc tạo lịch họp lớp trên S-link.```"
837,305.0,Sinh viên muốn được tính điểm rèn luyện khi tham gia các sự kiện của Khoa hoặc các đơn vị trong Học viện thì cần làm gì?,"Sinh viên cần quét mã QR của sự kiện khi tham gia. Các đơn vị tổ chức sẽ gửi thông tin về chương trình cho phòng Chính trị và Công tác sinh viên trước 1 ngày diễn ra sự kiện, phòng này sẽ tạo mã QR trên hệ thống S-link và thông báo cho các đơn vị tổ chức để sinh viên quét mã làm cơ sở tính điểm rèn luyện.","Trích dẫn: ""Các đơn vị tổ chức thông báo cho sinh viên tham gia sự kiện quét mã QR làm cơ sở tính điểm rèn luyện.""",,5.0,,"#Question : ```Sinh viên muốn được tính điểm rèn luyện khi tham gia các sự kiện của Khoa hoặc các đơn vị trong Học viện thì cần làm gì?```
#Answer : ```Sinh viên cần quét mã QR của sự kiện khi tham gia. Các đơn vị tổ chức sẽ gửi thông tin về chương trình cho phòng Chính trị và Công tác sinh viên trước 1 ngày diễn ra sự kiện, phòng này sẽ tạo mã QR trên hệ thống S-link và thông báo cho các đơn vị tổ chức để sinh viên quét mã làm cơ sở tính điểm rèn luyện.```"
838,305.0,Sinh viên có thắc mắc về quá trình đánh giá kết quả rèn luyện thì liên hệ với ai?," Sinh viên có thắc mắc về quá trình đánh giá kết quả rèn luyện có thể liên hệ với Phòng Chính trị và công tác sinh viên qua đ/c Lê Thị Kim Nhung (ĐT: 0243.8547795, email: nhungltk@ptit.edu.vn) hoặc đ/c Nguyễn Duy Khánh (ĐT: 0972414410, email: khanhnd@ptit.edu.vn).","Trích dẫn: ""Trong quá trình thực hiện có những vấn đề gì phát sinh các đơn vị liên hệ qua Phòng Chính trị và công tác sinh viên – Đ/c Lê Thị Kim Nhung- ĐT: 0243.8547795, email: nhungltk@ptit.edu.vn; đ/c Nguyễn Duy Khánh- ĐT: 0972414410, email: khanhnd@ ptit.edu.vn.""",,5.0,,"#Question : ```Sinh viên có thắc mắc về quá trình đánh giá kết quả rèn luyện thì liên hệ với ai?```
#Answer : ``` Sinh viên có thắc mắc về quá trình đánh giá kết quả rèn luyện có thể liên hệ với Phòng Chính trị và công tác sinh viên qua đ/c Lê Thị Kim Nhung (ĐT: 0243.8547795, email: nhungltk@ptit.edu.vn) hoặc đ/c Nguyễn Duy Khánh (ĐT: 0972414410, email: khanhnd@ptit.edu.vn).```"
